Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
NON REC,02/01/2021,07:00 AM,02/01/2021,07:10 AM,TRUE,NON REC
CARTA,04/01/2021,07:00 AM,04/01/2021,07:10 AM,TRUE,CARTA
ORG,05/01/2021,07:00 AM,05/01/2021,07:10 AM,TRUE,ORG
ORG,12/01/2021,07:00 AM,12/01/2021,07:10 AM,TRUE,ORG
PLASTICA,13/01/2021,07:00 AM,13/01/2021,07:10 AM,TRUE,PLASTICA
VETRO,14/01/2021,07:00 AM,14/01/2021,07:10 AM,TRUE,VETRO
NON REC - CARTA,15/01/2021,07:00 AM,15/01/2021,07:10 AM,TRUE,NON REC - CARTA
SFALCI,16/01/2021,07:00 AM,16/01/2021,07:10 AM,TRUE,SFALCI
ORG,19/01/2021,07:00 AM,19/01/2021,07:10 AM,TRUE,ORG
ORG,26/01/2021,07:00 AM,26/01/2021,07:10 AM,TRUE,ORG
PLASTICA,27/01/2021,07:00 AM,27/01/2021,07:10 AM,TRUE,PLASTICA
NON REC - CARTA,29/01/2021,07:00 AM,29/01/2021,07:10 AM,TRUE,NON REC - CARTA
SFALCI,30/01/2021,07:00 AM,30/01/2021,07:10 AM,TRUE,SFALCI
ORG,02/02/2021,07:00 AM,02/02/2021,07:10 AM,TRUE,ORG
ORG,09/02/2021,07:00 AM,09/02/2021,07:10 AM,TRUE,ORG
PLASTICA,10/02/2021,07:00 AM,10/02/2021,07:10 AM,TRUE,PLASTICA
VETRO,11/02/2021,07:00 AM,11/02/2021,07:10 AM,TRUE,VETRO
NON REC - CARTA,12/02/2021,07:00 AM,12/02/2021,07:10 AM,TRUE,NON REC - CARTA
SFALCI,13/02/2021,07:00 AM,13/02/2021,07:10 AM,TRUE,SFALCI
ORG,16/02/2021,07:00 AM,16/02/2021,07:10 AM,TRUE,ORG
ORG,23/02/2021,07:00 AM,23/02/2021,07:10 AM,TRUE,ORG
PLASTICA,24/02/2021,07:00 AM,24/02/2021,07:10 AM,TRUE,PLASTICA
NON REC - CARTA,26/02/2021,07:00 AM,26/02/2021,07:10 AM,TRUE,NON REC - CARTA
SFALCI,27/02/2021,07:00 AM,27/02/2021,07:10 AM,TRUE,SFALCI
ORG,02/03/2021,07:00 AM,02/03/2021,07:10 AM,TRUE,ORG
SFALCI,06/03/2021,07:00 AM,06/03/2021,07:10 AM,TRUE,SFALCI
ORG,09/03/2021,07:00 AM,09/03/2021,07:10 AM,TRUE,ORG
PLASTICA,10/03/2021,07:00 AM,10/03/2021,07:10 AM,TRUE,PLASTICA
VETRO,11/03/2021,07:00 AM,11/03/2021,07:10 AM,TRUE,VETRO
NON REC - CARTA,12/03/2021,07:00 AM,12/03/2021,07:10 AM,TRUE,NON REC - CARTA
SFALCI,13/03/2021,07:00 AM,13/03/2021,07:10 AM,TRUE,SFALCI
ORG,16/03/2021,07:00 AM,16/03/2021,07:10 AM,TRUE,ORG
ORG - LAV,23/03/2021,07:00 AM,23/03/2021,07:10 AM,TRUE,ORG - LAV
PLASTICA,24/03/2021,07:00 AM,24/03/2021,07:10 AM,TRUE,PLASTICA
NON REC - CARTA,26/03/2021,07:00 AM,26/03/2021,07:10 AM,TRUE,NON REC - CARTA
SFALCI,27/03/2021,07:00 AM,27/03/2021,07:10 AM,TRUE,SFALCI
ORG,30/03/2021,07:00 AM,30/03/2021,07:10 AM,TRUE,ORG
