Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
NON REC,02/01/2021,07:00 AM,02/01/2021,07:10 AM,TRUE,NON REC
ORG - PLASTICA,05/01/2021,07:00 AM,05/01/2021,07:10 AM,TRUE,ORG - PLASTICA
NON REC - SFALCI,08/01/2021,07:00 AM,08/01/2021,07:10 AM,TRUE,NON REC - SFALCI
ORG - VETRO,12/01/2021,07:00 AM,12/01/2021,07:10 AM,TRUE,ORG - VETRO
CARTA,13/01/2021,07:00 AM,13/01/2021,07:10 AM,TRUE,CARTA
ORG - PLASTICA,19/01/2021,07:00 AM,19/01/2021,07:10 AM,TRUE,ORG - PLASTICA
NON REC,22/01/2021,07:00 AM,22/01/2021,07:10 AM,TRUE,NON REC
ORG - VETRO,26/01/2021,07:00 AM,26/01/2021,07:10 AM,TRUE,ORG - VETRO
CARTA,27/01/2021,07:00 AM,27/01/2021,07:10 AM,TRUE,CARTA
SFALCI,29/01/2021,07:00 AM,29/01/2021,07:10 AM,TRUE,SFALCI
ORG - PLASTICA,02/02/2021,07:00 AM,02/02/2021,07:10 AM,TRUE,ORG - PLASTICA
NON REC,05/02/2021,07:00 AM,05/02/2021,07:10 AM,TRUE,NON REC
ORG - VETRO,09/02/2021,07:00 AM,09/02/2021,07:10 AM,TRUE,ORG - VETRO
CARTA,10/02/2021,07:00 AM,10/02/2021,07:10 AM,TRUE,CARTA
ORG - PLASTICA,16/02/2021,07:00 AM,16/02/2021,07:10 AM,TRUE,ORG - PLASTICA
NON REC - SFALCI,19/02/2021,07:00 AM,19/02/2021,07:10 AM,TRUE,NON REC - SFALCI
ORG - LAV - VETRO,23/02/2021,07:00 AM,23/02/2021,07:10 AM,TRUE,ORG - LAV - VETRO
CARTA,24/02/2021,07:00 AM,24/02/2021,07:10 AM,TRUE,CARTA
SFALCI,26/02/2021,07:00 AM,26/02/2021,07:10 AM,TRUE,SFALCI
ORG - PLASTICA,02/03/2021,07:00 AM,02/03/2021,07:10 AM,TRUE,ORG - PLASTICA
NON REC,05/03/2021,07:00 AM,05/03/2021,07:10 AM,TRUE,NON REC
ORG - VETRO,09/03/2021,07:00 AM,09/03/2021,07:10 AM,TRUE,ORG - VETRO
CARTA,10/03/2021,07:00 AM,10/03/2021,07:10 AM,TRUE,CARTA
SFALCI,12/03/2021,07:00 AM,12/03/2021,07:10 AM,TRUE,SFALCI
ORG - PLASTICA,16/03/2021,07:00 AM,16/03/2021,07:10 AM,TRUE,ORG - PLASTICA
NON REC,19/03/2021,07:00 AM,19/03/2021,07:10 AM,TRUE,NON REC
ORG - VETRO,23/03/2021,07:00 AM,23/03/2021,07:10 AM,TRUE,ORG - VETRO
